Name;X;Y
Adolph-Kolping-Berufskolleg;405980.04959999956;5758286.942
Aegidii-Ludgeri-Schule;405442.2555999998;5757409.2948
Albert-Schweitzer-Schule;407693.3618000001;5757323.309900001
Anne-Frank-Berufskolleg;407423.46920000017;5757361.2971
Annette-von-Droste-Hülshoff-Gymnasium;405464.2456;5757255.355699999
Annette-von-Droste-Hülshoff-Schule Angelmodde;409261.7039999999;5753099.9723000005
Annette-von-Droste-Hülshoff-Schule Nienberge;401145.99480000045;5761554.6863
Astrid Lindgren-Schule Gelmer;409110.8655000003;5765165.186799999
Berufskolleg der Landwirtschaftskammer Nordrhein-Westfalen;412255.52080000006;5753649.729
Bodelschwinghschule;406908.6743000001;5757471.2578
Clemensschule Hiltrup;406904.6255999999;5751496.6283
Davertschule Amelsbüren;404146.70019999985;5749160.578400001
Dietrich-Bonhoeffer-Schule;404097.7729000002;5755495.0655000005
Dreifaltigkeitsschule;405485.25380000006;5759223.5746
Eichendorffschule Angelmodde;410226.31549999956;5752414.236300001
Erich Kästner-Schule;407518.4447999997;5758938.670499999
Erich-Klausener-Schule;404428.65110000037;5756623.615
Erna-de-Vries-Realschule;405352.26829999965;5754679.3785999995
Freie Waldorfschule in Münster;402560.4084999999;5758555.8641
Freiherr-vom-Stein-Gymnasium;401651.7620000001;5757721.2029
Friedensreich-Hundertwasser-Schule;398945.82930000033;5756985.5175
Friedensschule;403317.07830000017;5754978.2771000005
Genossenschaftliches Berufskolleg  (GenoKolleg);407357.50430000015;5758422.876499999
Gesamtschule Münster-Mitte;405166.36950000003;5757943.0853
Gesamtschule Münster-West (aktuell im Aufbau);398908.8443999998;5757031.499600001
Geschwister-Scholl-Gymnasium;404145.80649999995;5761763.578199999
Geschwister-Scholl-Realschule;404145.80649999995;5761763.578199999
Gottfried-von-Cappenberg-Schule;404607.56240000017;5754516.4495
Grundschule am Kinderbach;404145.80649999995;5761763.578199999
Grundschule Kinderhaus-West;403449.0817;5761618.6415
Grundschule Loevelingloh;402139.50549999997;5750222.1741
Grundschule Sprakel;405039.48890000023;5766148.8309
Grundschule Wolbeck-Nord;412544.40479999967;5753479.794
Gymnasium Paulinum;404998.4321999997;5757476.2719
Gymnasium St. Mauritz;409766.5614;5759952.249399999
Gymnasium Wolbeck;411907.64749999996;5752300.2673
Hans-Böckler-Berufskolleg;407649.37689999957;5757046.4202
Hansa-Berufskolleg;406935.65869999956;5756883.490800001
Hauptschule Coerde;407161.6085999999;5761574.627699999
Hauptschule Hiltrup;406523.7720999997;5750950.848099999
Hauptschule Wolbeck;411907.64749999996;5752300.2673
Helen-Keller-Schule - Klinikschule der Stadt Münster;403265.1191999996;5757393.319399999
Hermannschule;405584.18570000026;5755801.931299999
Hildegardisschule;405808.11649999954;5758125.0077
Idaschule;408759.91330000013;5754314.4947
Immanuel-Kant-Gymnasium Hiltrup;406532.7681;5750889.872199999
Irisschule, LWL-Förderschule, Förderschwerpunkt Sehen;405117.41810000036;5761404.712400001
Johann-Conrad-Schlaun-Gymnasium;406120.9896999998;5757810.130000001
Johannes-Gutenberg-Realschule Hiltrup;406493.78479999956;5751044.8111000005
Johannisschule;405318.29839999974;5756651.5964
Kardinal-von-Galen-Gymnasium;406686.7056;5750725.936000001
Kardinal-von-Galen-Schule Handorf;410769.16839999985;5760509.020099999
Kompass-Schule;404992.4654000001;5761142.817299999
Kreuzschule;405460.2581000002;5758555.8397
Ludgerusschule Albachten;398764.87179999985;5753497.9026999995
Ludgerusschule Hiltrup;405513.17530000024;5751212.752699999
Ludwig-Erhard-Berufskolleg;404597.56989999954;5754942.2807
Margaretenschule;408878.88489999995;5756545.6085
Marienschule Hiltrup;408242.09559999965;5751562.5909
Marienschule Roxel;399076.77799999993;5757066.484300001
Marienschule, Gymnasium für Mädchen;405350.2879999997;5756930.4855
Martin-Luther-King-Schule, LWL-Förderschule, Förderschwerpunkt Sprache Münster;405117.41810000036;5761404.712400001
Martin-Luther-Schule;405749.1429000003;5758491.8627
Martinischule;405971.05150000006;5758082.023399999
Mathilde-Anneke-Gesamtschule;407485.4435999999;5757247.3418000005
Matthias-Claudius-Schule;404627.5593999997;5755106.215399999
Matthias-Claudius-Schule Handorf;410961.0937999999;5760692.945499999
Mauritzschule;407229.5502000004;5757850.104800001
